key,en,es,notes
@27FAEA8A,"{@you}  You were right, Dad. The wreck wasn't Grandpa's fault.","{@you} Tenías razón, Papá. El accidente no fue culpa del abuelito.",
@28FAEC1D,"The waves were rough, but the ship was sailing smoothly.","Las olas estaban agitadas, pero el barco navegaba sin problemas.",
@9FEE29EF,"Then there was a loud bang, and the Emerald broke in half!",Entonces se oyó un fuerte golpe y la Esmeralda se partió por la mitad.,
@9EEE285C,"Grandpa helped launch a life raft, but he wasn't able to make it to safety.","El abuelito ayudó a lanzar un bote salvavidas, pero él no pudo ponerse a salvo.",
@A1EE2D15,{@reya}  Whoa. Poor Grandpa.,{@reya}  Vaya. Pobre abuelito.,
@A0EE2B82,{@dad}  I don't understand. How can a huge freighter just break apart?,{@dad}  No lo entiendo. ¿Cómo puede un enorme carguero romperse sin razón?,
@9BEE23A3,{@you}  Mom found out that the ship was made of weak steel.,{@you} Mamá descubrió que el barco estaba hecho de acero débil.,
@9AEE2210,It wasn't strong enough to hold up against the waves.,No era lo suficientemente fuerte para resistir las olas.,
@9DEE26C9,{@dad}  That's awful. I need to get the word out!,{@dad}  Eso es horrible. ¡Necesito correr la voz!,
@9CEE2536,What if there are other ships in danger?,¿Y si hay otros barcos en peligro?,
@A7EE3687,"{@reya} Okay, okay, that's great and all. But what about the treasure??","{@reya} Si, si, eso es genial y todo. ¿Pero qué pasa con el tesoro?",
@A6EE34F4,"{@you}  The treasure was Grandpa's locket. It had a picture of you, Dad.","{@you} El tesoro era el relicario del abuelito. Tenía una foto tuya, Papá.",
@2DE6BAB4,{@reya}  What? That's it??,{@reya}  ¿Qué? ¿Eso es todo?,
@2EE6BC47,"Well, at least you can get a permit and go grab it. I know you're jealous of mine.","Bueno, al menos puedes conseguir un permiso e ir a recogerlo. Sé que estás celosa del mío.",
@2FE6BDDA,"{@you}  Actually, I think I'll donate the locket to the museum, in Grandpa's memory.","{@you} En realidad, creo que donaré el relicario al museo, en memoria de mi abuelito.",
@30E6BF6D,Sounds like he was an amazing captain.,Parece que era un capitán increíble.,
@29E6B468,"{@dad}  Um, about that...",{@dad} Sobre eso...,
@2AE6B5FB,He was actually pretty reckless.,En realidad él era bastante atrevido.,
@2BE6B78E,{@you}  What?!,{@you} ¡¿cómo?!,
@2CE6B921,"{@dad}  Oh, yeah. A real daredevil.","{@dad} Oh, sí. Un verdadero temerario.",
@25E6AE1C,"{@you} Reya, he sounds a little like you.","{@you}  Reya, suena un poco como tú.",
@26E6AFAF,{@reya} I can't wait to hear more stories!,{@reya} ¡Quiero que me cuenten más historias!,
@33E902BD,"{@dad}  Ooh, here's a good one!","{@dad} Ooh, ¡aquí hay una buena!",
@32E9012A,Did I ever tell you about the time he had to climb up on the pilot house in the middle of an ice storm?,¿Te conte alguna vez la vez que tuvo que subir a la casa piloto en medio de una tormenta de hielo?,
@31E8FF97,"It was November of 1959, and a cold wind was blowing...",Era noviembre de 1959 y soplaba un viento frío...,
,,,
@F3CFFA28,Should use Location instead,Mejor debo usar la Ubicación ,Begin Sticky Notes
@86E86EA0,Do I have a matching photo?,¿Tengo una foto que coincida?,
@89E87359,Do I have a matching photo?,¿Tengo una foto que coincida?,
@96E0390B,Any canallers on the list of shipwrecks?,¿Algún canallero en la lista de naufragios?,
@97E03A9E,Any canallers on the list of shipwrecks?,¿Algún canallero en la lista de naufragios?,
@BAE2B04E,Does this match a ship diagram?,¿Coincide esto con un diagrama de la nave?,
@B9E2AEBB,Does this match a ship diagram?,¿Coincide esto con un diagrama de la nave?,
@B8E2AD28,Do I have a matching photo?,¿Tengo una foto que coincida?,
@BAEF7C41,Does this match a ship diagram?,¿Coincide esto con un diagrama de la nave?,
@B7EF7788,Does this match a ship diagram?,¿Coincide esto con un diagrama de la nave?,
@8DB4C64C,Do I have a matching photo?,¿Tengo una foto que coincida?,
@4093F8D7,Do I have a matching photo?,¿Tengo una foto que coincida?,
@B42AA8D3,A frieghter is too big!,¡Un carguero es muy grande!,
@B32AA740,A frieghter is too big!,¡Un carguero es muy grande!,
@9DAE23B7,Do I have a matching photo?,¿Tengo una foto que coincida?,
@0F2269E2,Do I have a matching photo?,¿Tengo una foto que coincida?,
@DA2D233C,Wreck doesn't look like a steamer.,El naufragio no parece un barco de vapor.,
@DB2D24CF,Wreck doesn't look like a steamer.,El naufragio no parece un barco de vapor.,
@D634B26B,Tug boat doesn't look the same,El remolcador no parece el mismo,
@D734B3FE,A freighter is too big!,¡Un carguero es demasiado grande!,
@D834B591,Wreck doesn't look like a steamer.,El naufragio no parece un barco de vapor.,
@3DF4442B,Tug boat doesn't look the same.,El remolcador no parece el mismo,
@63F6BE94,A freighter is too big,Un carguero es demasiado grande,
@4DFA6D89,Wreck doesn't look like a steamer.,El naufragio no parece un barco de vapor.,
@3C3CFCF5,I don't think this makes sense.,No creo que esto tenga sentido.,
@113DB906,Do I have a photo to prove this?,¿Tengo una foto para comprobar esto?,
@103DB773,Does this match a Ship Name on my list?,¿Coincide con un nombre de barco de mi lista?,
@5DC456DA,Oleander doesn't match the letters,Oleander no coincide con las letras,
@5CC45547,Hudson doesn't match the letters,Hudson no coincide con las letras,
@5BC453B4,Lakeland doesn't match the letters,Lakeland no coincide con las letras,
@5AC45221,Timberland doesn't match the letters,Timberland no coincide con las letras,
@26316950,This doesn't make sense,Esto no tiene sentido,
@6148AFB0,Does the news story mention corn?,¿Menciona la noticia el maíz?,
@6448B469,Is corn mentioned in the ship chart?,¿Menciona maíz la historial de naves?,
@B1ED1B38,Does the news story mention this?,¿Se menciona en la noticia?,
@2950E645,This doesn't make sense,Esto no tiene sentido,
@11793862,This isn't a cause of the wreck,Esto no es una causa del naufragio,
@B66D7695,Does the news story mention this trunk?,¿Mencionan las noticias este maletero?,
@B36D71DC,Do I have a photo of this?,¿Tengo una foto de esto?,
@6AFCFEB9,Not related to artifacts,No está relacionado con los artefactos,
@FC3BA4A9,Should use Location instead,Debería usar ubicación en su lugar,
@F93B9FF0,This isn't a location.,Esto no es una ubicación.,
@EC661394,Do I have a matching photo?,¿Tengo una foto que corresponda?,
@EF66184D,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@5F25A0F9,A canaller seems too small,Un canalero parece muy pequeño,
@5C259C40,A canaller seems too small,Un canalero parece muy pequeño,
@7723882A,A tug boat is too small,Un remolcador es muy pequeño,
@76238697,A tug boat is too small,Un remolcador es muy pequeño,
@931FE2A7,I don't think it's a steamer,No creo que es una vaporera,
@941FE43A,I don't think it's a steamer,No creo que es una vaporera,
@4A27DE98,This doesn't seem to make sense.,Esto no tiene sentido.,
@F1B717DD,Which car looks like this?,¿Cuál coche se parece a este?,
@EEB71324,Any Nash cars on my list of ships?,¿Hay algún coche Nash en mi lista de naves?,
@EFB714B7,Do I have a photo of a Nash car?,¿Tengo una foto de un coche Nash?,
@09B4FF0E,Do I have a matching photo?,¿Tengo una foto que corresponda?,
@08B4FD7B,Any Nash cars on my list of ships?,¿Hay algún coche Nash en mi lista de naves?,
@07B4FBE8,Do I have a photo of the cargo?,¿Tengo una foto de la carga?,
@0EB506ED,Do I have a photo of the cargo?,¿Tengo una foto de la carga?,
@E5B287CB,Do I have a matching photo?,¿Tengo una foto que corresponda?,
@E6B2895E,Do I have a matching photo?,¿Tengo una foto que corresponda?,
@E7B28AF1,Do I have an image of a Nash car?,¿Tengo una imagen de un carro Nash?,
@E8B28C84,Do I have an image of a Kissel car?,¿Tengo una imagen de un carro Kissel?,
@E9B28E17,Do I have a photo of the cargo?,¿Tengo una foto de la carga?,
@2F18FD5A,The photo doesn't look like a Kissel car.,La foto no se ve como un carro Kissel.,
@2E18FBC7,The photo doesn't look like a Kissel car.,La foto no se ve como un carro Kissel.,
@171B1629,The photo doesn't look like a Kissel car.,La foto no se ve como un carro Kissel.,
@141B1170,The photo doesn't look like a Kissel car.,La foto no se ve como un carro Kissel.,
@1C571BA8,Not sure this makes sense.,No sé si esto tiene sentido.,
@4254F8B7,Is there a record of the damage?,¿Hay un registro de los daños?,
@4354FA4A,Do I have a photo of the damage?,¿Tengo una foto del daño?,
@7FC452CB,Not related to the wreck's cause,No está relacionado a la causa del naufragio ,
@B9B053E2,The cargo doesn't match.,El cargamento no coincide.,
@EF993B9B,I should solve the cargo first.,Debería resolver la carga primero.,
@179A27C3,This doesn't make sense.,Esto no tiene sentido.,
@CDAEDF1C,Is the safe listed anywhere?,¿Aparece en algún sitio la caja fuerte?,
@D0AEE3D5,Do I have a photo of the safe?,¿Tengo una foto de la caja fuerte?,
@C0E3C04E,This doesn't make sense.,Esto no tiene sentido.,
@0757C860,Should use Location instead,Mejor debo usar la Ubicación ,
@0A57CD19,This isn't a location.,Esto no es una ubicación,
@92495796,Do I have a matching photo?,¿Tengo una foto que corresponda?,
@7A4B7065,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@774B6BAC,Any sidewheel steamers on my ship chart?,¿Hay alguna vaporera de rueda lateral en mi carta de barcos?,
@784B6D3F,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@9E4DE7A8,Any sidewheel steamers on my ship chart?,¿Hay alguna vaporera de rueda lateral en mi carta de barcos?,
@A14DEC61,Do I have a photo of this?,¿Tengo una foto de esto?,
@86500077,Do I have a photo of this?,¿Tengo una foto de esto?,
@8750020A,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@8850039D,Do I have a photo of this?,¿Tengo una foto de esto?,
@F9D0E34D,Tug boat doesn't look the same,El remolcador no se ve lo mismo ,
@F6D0DE94,A canaller seems too small,Un canalero parece demasiado pequeño,
@F7D0E027,Wreck doesn't look like a freighter,El naufragio no parece un carguero,
@80CEFD42,A canaller seems too small,Un canalero parece demasiado pequeño,
@62D10C9F,Wreck doesn't look like a freighter,El naufragio no parece un carguero,
@63D19C0F,I don't think this makes sense,No creo que esto tenga sentido ,
@73C8D89D,This is a type of ship,Esto es un tipo de nave.,
@7BEDCDAB,Do any of my photos identify what this was?,¿Alguna de mis fotos identifica qué fue esto?,
@7CEDCF3E,Does this help fill in my ship chart?,¿Ayuda esto a rellenar mi historial de naves?,
@AAC48B97,This doesn't make sense,Esto no tiene sentido ,
@0043D4FE,This seems more like a cause of the wreck,Esto parece más como la causa del naufragio ,
@FE43D1D8,This wouldn't have caused the wreck,Esto no hubiera causado el naufragio ,
@2157F328,Does a ship name match the photo?,¿Coincide un nombre de nave con la foto?,
@2457F7E1,Do I have a photo proving this?,¿Tengo una foto que pruebe esto?,
@7163E8BD,I don't see a name on here,No veo un nombre aquí ,
@38D4D357,Do I have a photo of this?,¿Tengo una foto de esto?,
@39D4D4EA,Is gold mentioned anywhere?,¿Se menciona el oro por algúna parte?,
@0FEB8160,I don't think this makes sense.,No creo que esto tenga sentido.,
@9E4DD2D7,Should use location instead,Mejor debo usar la ubicación ,
@9F4DD46A,This isn't a location.,Esto no es una ubicación.,
@012A291D,Do I have a photo of this?,¿Tengo una foto de esto?,
@1928104E,Is this listed on the ship chart?,¿Aparece esto en mi historial de naves?,
@18280EBB,Is this listed on the ship chart?,¿Aparece esto en mi historial de naves?,
@F525990B,Do I have a photo of this?,¿Tengo una foto de esto?,
@F6259A9E,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@FD36EEC4,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@1934DC41,Do I have a photo of this?,¿Tengo una foto de esto?,
@1634D788,Does this match a ship diagram?,¿Coincide esto con un diagrama de nave?,
@1734D91B,Do I have a photo of this?,¿Tengo una foto de esto?,
@B39626F2,Tug boat doesn't look the same,El remolcador no se ve lo mismo.,
@B296255F,A canaller seems too small,Un canalero parece demasiado pequeño,
@B19623CC,Wreck doesn't look like a steamer,El naufragio no se ve como un barco de vapor,
@5F5C9F07,A canaller seems too small,Un canalero parece demasiado pequeño,
@3D5A2AEA,Wreck doesn't look like a steamer,El naufragio no se ve como un barco de vapor,
@06397568,I don't think this makes sense,No creo que esto tenga sentido ,
@54581088,This is a type of ship,Esto es un tipo de nave,
@CE854A0C,This seems more like cargo,Esto parece más como carga,
@D1854EC5,"This is luggage, not cargo",Esto es equipaje; no es carga,
@D0854D32,This doesn't seem like cargo,Esto no parece ser carga,
@B87F1A10,Is there a story proving this?,¿Hay una historia que pruebe esto?,
@BB7F1EC9,Are there any other reports about this?,¿Hay otros reportes sobre esto?,
@BA7F1D36,Does another story back this up?,¿Hay otra historia que confirme esto?,
@C878777B,Are there any other reports about this?,¿Hay otros reportes sobre esto?,
@C978790E,Are there any other reports about this?,¿Hay otros reportes sobre esto?,
@CA787AA1,Do I have a photo of the damage?,¿Tengo una foto del daño?,
@AC7A89FE,Does another story back this up?,¿Hay otra historia que confirme esto?,
@AB7A886B,Does another story back this up?,¿Hay otra historia que confirme esto?,
@AA7A86D8,Do I have a photo of the damage?,¿Tengo una foto del daño?,
@A8A0A9A5,I don't think this makes sense,No creo que esto tenga sentido,
@F562F859,Does a ship name match the photo?,¿Hay un nombre de nave que corresponda con la foto?,
@F262F3A0,Do I have a photo proving this?,¿Tengo una foto que pruebe esto?,
@DCCAD9A6,I don't see a name on here,No veo un nombre aquí ,
@071CF42E,Do I have a photo of this?,¿Tengo una foto de esto?,
@061CF29B,Is this locket mentioned anywhere?,¿Se menciona este relicario en alguna parte?,
@529A559F,I don't think this makes sense.,No creo que esto tenga sentido.,
